asset_id,asset_type,asset_name,home_section_id,location_station,status,capacity
DY001,Dynamic Track Stabilizer,Dynamic Track Stabilizer Unit 1,JHS-ORAI,JHS,In Use,1.8 km/hr
TO002,Tower Wagon,Tower Wagon Unit 2,DVL-NK,DVL,Available,6m reach
TA003,Tamping Machine,Tamping Machine Unit 3,BSL-MMR,BSL,In Use,2.5 km/hr
DY004,Dynamic Track Stabilizer,Dynamic Track Stabilizer Unit 4,BNXR-SDAH,BNXR,In Use,1.8 km/hr
TA005,Tamping Machine,Tamping Machine Unit 5,BGRD-LBTL,BGRD,Available,2.5 km/hr
OH006,OHE Maintenance Special,OHE Maintenance Special Unit 6,KTE-STA,KTE,Available,N/A
OH007,OHE Maintenance Special,OHE Maintenance Special Unit 7,GPD-KVP,GPD,Available,N/A
RA008,Rail Crane,Rail Crane Unit 8,HAUR-RDU,HAUR,Available,40 tonnes
TO009,Tower Wagon,Tower Wagon Unit 9,KMST-KNHE,KMST,In Use,6m reach
OH010,OHE Maintenance Special,OHE Maintenance Special Unit 10,GR-SUR,GR,Under Repair,N/A
RA011,Rail Crane,Rail Crane Unit 11,DLI-DSA,DLI,Available,40 tonnes
DY012,Dynamic Track Stabilizer,Dynamic Track Stabilizer Unit 12,JRC-JUC,JRC,Available,1.8 km/hr
RA013,Rail Crane,Rail Crane Unit 13,DIVA-MBQ,DIVA,Available,40 tonnes
DY014,Dynamic Track Stabilizer,Dynamic Track Stabilizer Unit 14,AKRA-SSP,AKRA,Under Repair,1.8 km/hr
OH015,OHE Maintenance Special,OHE Maintenance Special Unit 15,KTYM-TRVL,KTYM,Available,N/A
BA016,Ballast Regulator,Ballast Regulator Unit 16,UBC-UMB,UBC,Available,3 km/hr
DY017,Dynamic Track Stabilizer,Dynamic Track Stabilizer Unit 17,MLND-NHU,MLND,Available,1.8 km/hr
DY018,Dynamic Track Stabilizer,Dynamic Track Stabilizer Unit 18,BL-ST,BL,Available,1.8 km/hr
OH019,OHE Maintenance Special,OHE Maintenance Special Unit 19,BPAE-JOX,BPAE,Available,N/A
TO020,Tower Wagon,Tower Wagon Unit 20,KHT-RU,KHT,Available,6m reach
TO021,Tower Wagon,Tower Wagon Unit 21,ABB-NALR,ABB,In Use,6m reach
BA022,Ballast Regulator,Ballast Regulator Unit 22,DOS-SSM,DOS,In Use,3 km/hr
OH023,OHE Maintenance Special,OHE Maintenance Special Unit 23,BHS-BPL,BHS,In Use,N/A
RA024,Rail Crane,Rail Crane Unit 24,MBM-SP,MBM,Available,40 tonnes
OH025,OHE Maintenance Special,OHE Maintenance Special Unit 25,JNM-MPRD,JNM,In Use,N/A
OH026,OHE Maintenance Special,OHE Maintenance Special Unit 26,CNB-ON,CNB,Available,N/A
TA027,Tamping Machine,Tamping Machine Unit 27,KDH-TGH,KDH,Available,2.5 km/hr
TO028,Tower Wagon,Tower Wagon Unit 28,KYN-SHAD,KYN,Available,6m reach
RA029,Rail Crane,Rail Crane Unit 29,KBT-TRL,KBT,Available,40 tonnes
TO030,Tower Wagon,Tower Wagon Unit 30,KNHE-VDN,KNHE,Available,6m reach
RA031,Rail Crane,Rail Crane Unit 31,BWT-KJM,BWT,Available,40 tonnes
TO032,Tower Wagon,Tower Wagon Unit 32,ASN-DHN,ASN,Available,6m reach
TO033,Tower Wagon,Tower Wagon Unit 33,LOK-TAK,LOK,Available,6m reach
TA034,Tamping Machine,Tamping Machine Unit 34,BAM-KUR,BAM,Available,2.5 km/hr
RA035,Rail Crane,Rail Crane Unit 35,DMM-HUP,DMM,Available,40 tonnes
TA036,Tamping Machine,Tamping Machine Unit 36,KMT-WL,KMT,Available,2.5 km/hr
RA037,Rail Crane,Rail Crane Unit 37,DBA-GWL,DBA,Available,40 tonnes
TO038,Tower Wagon,Tower Wagon Unit 38,BBT-DGNR,BBT,In Use,6m reach
RA039,Rail Crane,Rail Crane Unit 39,MYHT-TNX,MYHT,Under Repair,40 tonnes
DY040,Dynamic Track Stabilizer,Dynamic Track Stabilizer Unit 40,RK-SRE,RK,Available,1.8 km/hr
TO041,Tower Wagon,Tower Wagon Unit 41,CDNR-HFZ,CDNR,Under Repair,6m reach
BA042,Ballast Regulator,Ballast Regulator Unit 42,DSA-VVB,DSA,Available,3 km/hr
RA043,Rail Crane,Rail Crane Unit 43,DMLE-KMAE,DMLE,Available,40 tonnes
TO044,Tower Wagon,Tower Wagon Unit 44,RK-SRE,RK,Available,6m reach
DY045,Dynamic Track Stabilizer,Dynamic Track Stabilizer Unit 45,SRR-TCR,SRR,Available,1.8 km/hr
OH046,OHE Maintenance Special,OHE Maintenance Special Unit 46,BLY-UPA,BLY,In Use,N/A
TO047,Tower Wagon,Tower Wagon Unit 47,ASN-CRJ,ASN,Available,6m reach
RA048,Rail Crane,Rail Crane Unit 48,KGP-SRC,KGP,In Use,40 tonnes
TA049,Tamping Machine,Tamping Machine Unit 49,PER-VLK,PER,Available,2.5 km/hr
OH050,OHE Maintenance Special,OHE Maintenance Special Unit 50,SHE-SRP,SHE,Available,N/A
RA051,Rail Crane,Rail Crane Unit 51,BGL-MYHT,BGL,Available,40 tonnes
OH052,OHE Maintenance Special,OHE Maintenance Special Unit 52,FL-JP,FL,Available,N/A
RA053,Rail Crane,Rail Crane Unit 53,LGDH-MJF,LGDH,Available,40 tonnes
TA054,Tamping Machine,Tamping Machine Unit 54,VM-VRI,VM,Available,2.5 km/hr
